year,round_number,event_name,c_hard,c_medium,c_soft
2022,1,Bahrain Grand Prix,C1,C2,C3
2022,2,Saudi Arabian Grand Prix,C2,C3,C4
2022,3,Australian Grand Prix,C2,C3,C5
2022,4,Emilia Romagna Grand Prix,C2,C3,C4
2022,5,Miami Grand Prix,C2,C3,C4
2022,6,Spanish Grand Prix,C1,C2,C3
2022,7,Monaco Grand Prix,C3,C4,C5
2022,8,Azerbaijan Grand Prix,C3,C4,C5
2022,9,Canadian Grand Prix,C3,C4,C5
2022,10,British Grand Prix,C1,C2,C3
2022,11,Austrian Grand Prix,C3,C4,C5
2022,12,French Grand Prix,C2,C3,C4
2022,13,Hungarian Grand Prix,C2,C3,C4
2022,14,Belgian Grand Prix,C2,C3,C4
2022,15,Dutch Grand Prix,C1,C2,C3
2022,16,Italian Grand Prix,C2,C3,C4
2022,17,Singapore Grand Prix,C3,C4,C5
2022,18,Japanese Grand Prix,C1,C2,C3
2022,19,United States Grand Prix,C2,C3,C4
2022,20,Mexico City Grand Prix,C2,C3,C4
2022,21,São Paulo Grand Prix,C2,C3,C4
2022,22,Abu Dhabi Grand Prix,C3,C4,C5
2023,1,Bahrain Grand Prix,C1,C2,C3
2023,2,Saudi Arabian Grand Prix,C2,C3,C4
2023,3,Australian Grand Prix,C2,C3,C4
2023,4,Azerbaijan Grand Prix,C3,C4,C5
2023,5,Miami Grand Prix,C2,C3,C4
2023,6,Monaco Grand Prix,C3,C4,C5
2023,7,Spanish Grand Prix,C1,C2,C3
2023,8,Canadian Grand Prix,C3,C4,C5
2023,9,Austrian Grand Prix,C2,C3,C4
2023,10,British Grand Prix,C1,C2,C3
2023,11,Hungarian Grand Prix,C3,C4,C5
2023,12,Belgian Grand Prix,C2,C3,C4
2023,13,Dutch Grand Prix,C1,C2,C3
2023,14,Italian Grand Prix,C3,C4,C5
2023,15,Singapore Grand Prix,C3,C4,C5
2023,16,Japanese Grand Prix,C1,C2,C3
2023,17,Qatar Grand Prix,C1,C2,C3
2023,18,United States Grand Prix,C2,C3,C4
2023,19,Mexico City Grand Prix,C3,C4,C5
2023,20,São Paulo Grand Prix,C2,C3,C4
2023,21,Las Vegas Grand Prix,C3,C4,C5
2023,22,Abu Dhabi Grand Prix,C3,C4,C5
2024,1,Bahrain Grand Prix,C1,C2,C3
2024,2,Saudi Arabian Grand Prix,C2,C3,C4
2024,3,Australian Grand Prix,C2,C3,C4
2024,4,Japanese Grand Prix,C1,C2,C3
2024,5,Chinese Grand Prix,C2,C3,C4
2024,6,Miami Grand Prix,C2,C3,C4
2024,7,Emilia Romagna Grand Prix,C3,C4,C5
2024,8,Monaco Grand Prix,C3,C4,C5
2024,9,Canadian Grand Prix,C3,C4,C5
2024,10,Spanish Grand Prix,C1,C2,C3
2024,11,Austrian Grand Prix,C3,C4,C5
2024,12,British Grand Prix,C1,C2,C3
2024,13,Hungarian Grand Prix,C3,C4,C5
2024,14,Belgian Grand Prix,C2,C3,C4
2024,15,Dutch Grand Prix,C1,C2,C3
2024,16,Italian Grand Prix,C3,C4,C5
2024,17,Azerbaijan Grand Prix,C3,C4,C5
2024,18,Singapore Grand Prix,C3,C4,C5
2024,19,United States Grand Prix,C2,C3,C4
2024,20,Mexico City Grand Prix,C2,C3,C4
2024,21,São Paulo Grand Prix,C2,C3,C4
2024,22,Las Vegas Grand Prix,C3,C4,C5
2024,23,Qatar Grand Prix,C1,C2,C3
2024,24,Abu Dhabi Grand Prix,C2,C3,C4
2025,1,Australian Grand Prix,C3,C4,C5
2025,2,Chinese Grand Prix,C2,C3,C4
2025,3,Japanese Grand Prix,C1,C2,C3
2025,4,Bahrain Grand Prix,C1,C2,C3
2025,5,Saudi Arabian Grand Prix,C2,C3,C4
2025,6,Miami Grand Prix,C2,C3,C4
2025,7,Emilia Romagna Grand Prix,C3,C4,C5
2025,8,Monaco Grand Prix,C3,C4,C5
2025,9,Spanish Grand Prix,C1,C2,C3
2025,10,Canadian Grand Prix,C3,C4,C5
2025,11,Austrian Grand Prix,C3,C4,C5
2025,12,British Grand Prix,C1,C2,C3
2025,13,Belgian Grand Prix,C2,C3,C4
2025,14,Hungarian Grand Prix,C3,C4,C5
2025,15,Dutch Grand Prix,C1,C2,C3
2025,16,Italian Grand Prix,C3,C4,C5
2025,17,Azerbaijan Grand Prix,C3,C4,C5
2025,18,Singapore Grand Prix,C3,C4,C5
2025,19,United States Grand Prix,C2,C3,C4
2025,20,Mexico City Grand Prix,C2,C3,C4
2025,21,São Paulo Grand Prix,C3,C4,C5
2025,22,Las Vegas Grand Prix,C3,C4,C5
2025,23,Qatar Grand Prix,C1,C2,C3
2025,24,Abu Dhabi Grand Prix,C2,C3,C4
